identifier,entityName,attributeName,attributeDefinition,attributeLabel,attributeUnit,ECSO_,who,notes
doi:10.18739/A20C33,BES_2005_12JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEN_2007_12June_31Aug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BES_2007_12JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEN_2008_12June_31Aug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEC_2005_12JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEC_2006_JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEN_2006_12JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BEN_2005_JulyAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BES_2006_JuneAug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A20C33,BES_2008_12June_31Aug_v.txt,Hour,Hour of day measurement was taken,,nominalHour,00002048,SC,
doi:10.18739/A2X29N,94_4.csv,HOUR,"hour of day, Alaska Daylight Time",,nominalHour,00002048,SC,
doi:10.18739/A2X29N,94_7.csv,HOUR,"hour of day, Alaska Daylight Time",,nominalHour,00002048,SC,
doi:10.18739/A2X29N,94_3.csv,HOUR,"hour of day, Alaska Daylight Time",,nominalHour,00002048,SC,
